,Panel count,Battery capacity,Windturbine size,Price,Success rate
0,0,500,large,2056.0,0.07684933695478512
0,0,1000,large,2112.0,0.12334238696277361
0,0,1500,large,2168.0,0.16624061351653618
0,0,2000,large,2224.0,0.21193481386803004
0,0,2500,large,2280.0,0.254034190765298
0,0,3000,large,2336.0,0.29765138200990576
0,0,3500,large,2392.0,0.3382329445598338
0,0,4000,large,2448.0,0.3792139319380093
0,0,4500,large,2504.0,0.42051445917878255
0,0,5000,large,2560.0,0.46229429621345264
0,0,5500,large,2616.0,0.5055120626298131
0,0,6000,large,2672.0,0.5472120146988336
0,0,6500,large,2728.0,0.5877935772487618
0,0,7000,large,2784.0,0.6286147946956383
0,0,7500,large,2840.0,0.6703147467646589
0,0,8000,large,2896.0,0.7114555040741333
0,0,8500,large,2952.0,0.7523566064866593
0,0,9000,large,3008.0,0.7930979389678863
0,0,9500,large,3064.0,0.8341588113117111
0,0,10000,large,3120.0,0.8749001437929381
0,1,500,large,2386.0,0.8115513660329126
0,1,1000,large,2442.0,0.8589231506630453
0,1,1500,large,2498.0,0.9108483783351973
0,1,2000,large,2554.0,0.967327049049369
0,1,2500,large,2610.0,1.0
0,1,3000,large,2666.0,1.0
0,1,3500,large,2722.0,1.0
0,1,4000,large,2778.0,1.0
0,1,4500,large,2834.0,1.0
0,1,5000,large,2890.0,1.0
0,1,5500,large,2946.0,1.0
0,1,6000,large,3002.0,1.0
0,1,6500,large,3058.0,1.0
0,1,7000,large,3114.0,1.0
0,1,7500,large,3170.0,1.0
0,1,8000,large,3226.0,1.0
0,1,8500,large,3282.0,1.0
0,1,9000,large,3338.0,1.0
0,1,9500,large,3394.0,1.0
0,1,10000,large,3450.0,1.0
0,2,500,large,2716.0,0.9368109921712734
0,2,1000,large,2772.0,0.9892155296373223
0,2,1500,large,2828.0,1.0
0,2,2000,large,2884.0,1.0
0,2,2500,large,2940.0,1.0
0,2,3000,large,2996.0,1.0
0,2,3500,large,3052.0,1.0
0,2,4000,large,3108.0,1.0
0,2,4500,large,3164.0,1.0
0,2,5000,large,3220.0,1.0
0,2,5500,large,3276.0,1.0
0,2,6000,large,3332.0,1.0
0,2,6500,large,3388.0,1.0
0,2,7000,large,3444.0,1.0
0,2,7500,large,3500.0,1.0
0,2,8000,large,3556.0,1.0
0,2,8500,large,3612.0,1.0
0,2,9000,large,3668.0,1.0
0,2,9500,large,3724.0,1.0
0,2,10000,large,3780.0,1.0
0,3,500,large,3046.0,0.959098897587474
0,3,1000,large,3102.0,1.0
0,3,1500,large,3158.0,1.0
0,3,2000,large,3214.0,1.0
0,3,2500,large,3270.0,1.0
0,3,3000,large,3326.0,1.0
0,3,3500,large,3382.0,1.0
0,3,4000,large,3438.0,1.0
0,3,4500,large,3494.0,1.0
0,3,5000,large,3550.0,1.0
0,3,5500,large,3606.0,1.0
0,3,6000,large,3662.0,1.0
0,3,6500,large,3718.0,1.0
0,3,7000,large,3774.0,1.0
0,3,7500,large,3830.0,1.0
0,3,8000,large,3886.0,1.0
0,3,8500,large,3942.0,1.0
0,3,9000,large,3998.0,1.0
0,3,9500,large,4054.0,1.0
0,3,10000,large,4110.0,1.0
0,0,500,small,456.0,0.04753155456143154
0,0,1000,small,512.0,0.08891196676785429
0,0,1500,small,568.0,0.1306119188368749
0,0,2000,small,624.0,0.17167279118069978
0,0,2500,small,680.0,0.2127336635245247
0,0,3000,small,736.0,0.2531554561431539
0,0,3500,small,792.0,0.29445598338392714
0,0,4000,small,848.0,0.33455823613995844
0,0,4500,small,904.0,0.3747403738616392
0,0,5000,small,960.0,0.4150023965489695
0,0,5500,small,1016.0,0.4553443042019492
0,0,6000,small,1072.0,0.49608563668317623
0,0,6500,small,1128.0,0.5365074293018054
0,0,7000,small,1184.0,0.5766096820578367
0,0,7500,small,1240.0,0.616711934813868
0,0,8000,small,1296.0,0.6570538424668477
0,0,8500,small,1352.0,0.697315865154178
0,0,9000,small,1408.0,0.7374980028758588
0,0,9500,small,1464.0,0.7776801405975395
0,0,10000,small,1520.0,0.8178622783192203
0,1,500,small,786.0,0.7943760984182777
0,1,1000,small,842.0,0.8408691484262661
0,1,1500,small,898.0,0.8907972519571816
0,1,2000,small,954.0,0.9459178782553124
0,1,2500,small,1010.0,0.9980028758587633
0,1,3000,small,1066.0,1.0
0,1,3500,small,1122.0,1.0
0,1,4000,small,1178.0,1.0
0,1,4500,small,1234.0,1.0
0,1,5000,small,1290.0,1.0
0,1,5500,small,1346.0,1.0
0,1,6000,small,1402.0,1.0
0,1,6500,small,1458.0,1.0
0,1,7000,small,1514.0,1.0
0,1,7500,small,1570.0,1.0
0,1,8000,small,1626.0,1.0
0,1,8500,small,1682.0,1.0
0,1,9000,small,1738.0,1.0
0,1,9500,small,1794.0,1.0
0,1,10000,small,1850.0,1.0
0,2,500,small,1116.0,0.9298610001597699
0,2,1000,small,1172.0,0.9825850774884167
0,2,1500,small,1228.0,1.0
0,2,2000,small,1284.0,1.0
0,2,2500,small,1340.0,1.0
0,2,3000,small,1396.0,1.0
0,2,3500,small,1452.0,1.0
0,2,4000,small,1508.0,1.0
0,2,4500,small,1564.0,1.0
0,2,5000,small,1620.0,1.0
0,2,5500,small,1676.0,1.0
0,2,6000,small,1732.0,1.0
0,2,6500,small,1788.0,1.0
0,2,7000,small,1844.0,1.0
0,2,7500,small,1900.0,1.0
